Dataset,Type,Source,Samples,Features,IR,Minority_n,Role
Pima,Real,UCI,768,8,1.9,268,Mild imbalance baseline
Phoneme,Real,OpenML,5404,5,2.4,1586,Moderate imbalance
Default CC Clients,Real,UCI,30000,23,3.5,6636,"Moderate, financial"
Bank Marketing,Real,UCI,45211,16,7.5,5289,"Moderate, marketing"
Dry Bean,Real,UCI,13611,16,25.1,522,"Moderate-high, binarized"
Give Me Some Credit,Real,Kaggle,30000,10,2.0,10026,"Moderate, financial (subsampled)"
Mammography,Real,UCI,961,5,1.2,445,"Mild, medical"
Thyroid Disease,Real,UCI,3772,29,15.3,231,"Moderate-high, medical"
Credit Card (proxy),Real,Kaggle,28480,29,580.0,49,Extreme imbalance
Extreme Imb. (syn.),Synth,—,5000,10,101.0,49,IR stress (controlled)
